Entity,Code,Year,Buildings (tonnes),Industry (tonnes),Other fuel combustion (tonnes),Transport (tonnes),Manufacturing & Construction (tonnes),Electricity & Heat (tonnes),Total
Sweden,SWE,2016,1400000,1540000,200000,20000000,6400000,9900000,39440000
Switzerland,CHE,2016,13000000,1770000,500000,16000000,5200000,3100000,39570000
Syria,SYR,2016,2900000,1400000,1100000,6400000,3500000,12000000,27300000
Thailand,THA,2016,6500000,15180000,9300000,69200000,49500000,110100000,259780000
Tunisia,TUN,2016,2700000,3790000,1200000,7100000,5100000,9100000,28990000
Turkey,TUR,2016,54000000,35720000,8100000,79000000,51100000,146500000,374420000
Turkmenistan,TKM,2016,17300000,1260000,11600000,11800000,2400000,25900000,70260000
Ukraine,UKR,2016,25500000,3620000,4900000,24400000,37600000,105200000,201220000
United Kingdom,GBR,2016,84700000,4550000,4400000,120500000,36400000,125200000,375750000
United States,USA,2016,496500000,39440000,46300000,1711200000,433600000,2145500000,4872540000
Uruguay,URY,2016,600000,290000,400000,3600000,800000,800000,6490000
Uzbekistan,UZB,2016,26700000,3390000,2900000,5700000,11100000,39000000,88790000
Vietnam,VNM,2016,12300000,29270000,1500000,36900000,62400000,73900000,216270000
World,OWID_WRL,2016,2720700000,1464000000,613000000,7866000000,6109300000,15005300000,33778300000
Yemen,YEM,2016,2000000,980000,100000,2800000,1000000,3300000,10180000
Zambia,ZMB,2016,100000,810000,200000,1200000,1500000,600000,4410000
Zimbabwe,ZWE,2016,200000,500000,700000,2100000,1100000,6200000,10800000
